4.00699;0.05;10;40
4.00699;0.06;10;40
4.01012;0.05;0;40
4.01012;0.06;0;40
4.01859;0.05;10;30
4.01859;0.07;10;30
4.01859;0.06;10;30
4.02432;0.05;0;30
4.04678;0.07;10;20
4.04678;0.06;10;20
4.04678;0.05;10;20
4.05743;0.04;0;10
4.08778;0.04;0;60
4.16861;0.03;0;30
4.27436;0.05;0;50
4.27655;0.06;0;10
4.28301;0.07;10;50
4.28614;0.07;0;50
4.28858;0.08;10;40
4.28858;0.09;10;40
4.28858;0.07;10;40
4.28863;0.08;10;50
4.28863;0.06;10;50
4.29176;0.06;0;50
4.30357;0.04;0;30
4.31436;0.06;0;60
4.31436;0.05;0;60
4.33575;0.04;0;50
4.35776;0.04;0;40
4.3636;0.07;0;60
4.48716;0.02;0;50
4.54946;0.02;10;50
4.55867;0.05;10;50
4.57373;0.02;20;20
4.58601;0.04;10;50
4.77297;0.02;10;30
4.77469;0.02;10;40
4.77619;0.02;0;40
4.77986;0.02;0;30
4.79539;0.02;20;50
4.80147;0.02;20;40
4.81435;0.03;10;30
4.86003;0.03;10;10
4.86505;0.02;30;40
4.88101;0.02;30;50
4.92912;0.02;30;30
4.93314;0.07;0;40
4.95326;0.06;0;30
4.95326;0.07;0;30
4.9662;0.02;20;30
4.97261;0.04;10;20
4.97466;0.06;0;20
4.97823;0.02;0;60
5.00534;0.06;20;20
5.00534;0.05;20;20
5.01667;0.03;0;60
5.20633;0.03;10;20
5.2116;0.1;10;40
5.21473;0.08;0;40
5.21473;0.1;0;40
5.21473;0.09;0;40
5.217;0.09;10;50
5.217;0.1;10;50
5.22013;0.09;0;50
5.22013;0.08;0;50
5.22013;0.1;0;50
5.22478;0.04;10;30
5.22912;0.1;10;30
5.22912;0.09;10;30
5.22912;0.08;10;30
5.2312;0.08;30;50
5.2312;0.09;30;50
5.2312;0.1;30;50
5.23297;0.02;40;50
5.23297;0.02;40;40
5.23371;0.08;0;30
5.23461;0.03;30;50
5.23471;0.06;30;50
5.23471;0.07;30;50
5.23471;0.05;30;50
5.23475;0.1;20;20
5.23657;0.1;10;20
5.23683;0.1;0;30
5.23683;0.09;0;30
5.23956;0.03;20;30
5.23956;0.04;20;30
5.24246;0.03;30;40
5.24272;0.1;0;60
5.24272;0.09;0;60
5.24272;0.08;0;60
5.2458;0.08;30;40
5.2458;0.09;30;40
5.2458;0.1;30;40
5.24772;0.06;30;40
5.24772;0.05;30;40
5.24772;0.07;30;40
5.2511;0.08;10;20
5.2511;0.09;10;20
5.25786;0.06;20;40
5.25786;0.07;20;40
5.25786;0.1;20;40
5.25786;0.09;20;40
5.25786;0.08;20;40
5.26135;0.07;20;50
5.26135;0.1;20;50
5.26135;0.09;20;50
5.26135;0.08;20;50
5.26135;0.06;20;50
5.26261;0.03;10;50
5.26411;0.03;0;50
5.26451;0.09;20;20
5.26451;0.1;20;30
5.26683;0.03;20;20
5.26683;0.04;20;20
5.26798;0.08;0;10
5.26798;0.09;0;10
5.26798;0.07;0;10
5.27141;0.09;40;40
5.27141;0.08;40;40
5.27141;0.1;40;50
5.27141;0.03;40;50
5.27141;0.08;40;50
5.27141;0.1;40;40
5.27141;0.03;40;40
5.27141;0.09;40;50
5.27199;0.04;20;40
5.27199;0.03;20;40
5.27238;0.03;10;40
5.27238;0.04;10;40
5.27332;0.06;40;40
5.27332;0.04;40;40
5.27332;0.05;40;40
5.27332;0.07;40;40
5.27492;0.05;40;50
5.27492;0.07;40;50
5.27492;0.04;40;50
5.27492;0.06;40;50
5.28078;0.03;0;40
5.28382;0.06;10;60
5.28382;0.08;10;60
5.28382;0.05;10;60
5.28382;0.07;30;30
5.28382;0.1;30;30
5.28382;0.09;30;30
5.28382;0.08;30;30
5.28574;0.05;30;30
5.28574;0.06;30;30
5.28606;0.08;20;20
5.28606;0.07;20;20
5.28623;0.08;20;30
5.28623;0.07;20;30
5.28623;0.09;20;30
5.28623;0.05;20;30
5.28623;0.06;20;30
5.31524;0.06;10;10
5.31694;0.05;10;10
5.31983;0.07;10;10
5.31983;0.08;10;10
5.32153;0.04;10;10
5.33868;0.07;10;60
5.42744;0.1;50;90
5.42744;0.08;50;90
5.42744;0.09;50;90
5.42744;0.07;50;90
5.42952;0.09;60;90
5.42952;0.1;60;90
5.42952;0.07;60;90
5.42952;0.08;60;90
5.43187;0.09;70;90
5.43187;0.1;70;90
5.43187;0.08;70;90
5.43187;0.07;70;90
5.4566;0.09;70;70
5.4566;0.09;70;80
5.4566;0.07;70;70
5.4566;0.1;70;70
5.4566;0.08;70;70
5.4566;0.07;70;80
5.4566;0.1;70;80
5.4566;0.08;70;80
5.46084;0.1;60;80
5.46084;0.07;60;80
5.46084;0.08;60;80
5.46084;0.09;60;80
5.4624;0.04;30;50
5.47541;0.04;30;40
5.49055;0.03;30;30
5.49055;0.04;30;30
5.54976;0.03;20;50
5.54976;0.04;20;50
5.54976;0.05;20;50
5.5551;0.05;20;40
5.56849;0.02;40;80
5.57412;0.02;40;70
5.57982;0.02;40;60
5.58138;0.07;40;90
5.58138;0.06;40;90
5.58257;0.07;30;90
5.58257;0.06;30;90
5.58905;0.07;40;80
5.58905;0.05;40;70
5.58905;0.06;40;80
5.58905;0.06;40;70
5.59794;0.05;40;80
5.59794;0.05;40;90
5.61205;0.06;60;60
5.61541;0.07;60;70
5.6234;0.02;10;10
5.64222;0.02;0;90
5.66316;0.02;20;70
5.68025;0.02;0;70
5.68213;0.02;40;90
5.6977;0.03;0;80
5.71817;0.04;0;70
5.71869;0.03;0;70
5.77625;0.02;20;60
5.78032;0.02;30;60
5.78239;0.03;10;60
5.86043;0.02;10;90
5.87821;0.02;10;20
5.89887;0.03;10;90
5.90488;0.03;0;90
5.9085;0.03;10;80
5.92825;0.03;10;70
5.95322;0.04;10;90
5.95923;0.04;0;90
5.96435;0.04;0;80
5.96598;0.07;0;20
5.96598;0.05;0;20
5.96598;0.08;0;20
5.96697;0.02;0;80
6.03191;0.02;10;60
6.17778;0.02;10;70
6.17778;0.02;10;80
6.18241;0.02;30;90
6.18241;0.02;30;80
6.18241;0.02;30;70
6.20288;0.02;20;80
6.20288;0.02;20;90
6.21218;0.09;10;60
6.21218;0.1;10;60
6.2157;0.06;10;70
6.2157;0.04;10;70
6.2157;0.05;10;70
6.2157;0.1;10;70
6.2157;0.09;10;70
6.2157;0.08;10;70
6.2172;0.09;0;70
6.2172;0.1;0;70
6.2172;0.08;0;70
6.2172;0.06;0;70
6.2172;0.05;0;70
6.21733;0.08;30;60
6.21733;0.09;30;60
6.21733;0.1;30;60
6.21733;0.03;30;60
6.22085;0.09;30;70
