10 threads
TotalError = 2.84747
TotalError = 2.84747
TotalError = 3.3726
TotalError = 2.84747
TotalError = 2.84172
TotalError = 4.37245
TotalError = 2.84095
TotalError = 4.44972
TotalError = 5.80116
TotalError = 4.22554
TotalError = 4.05851
TotalError = 3.83361
TotalError = 4.44894
TotalError = 3.82708
TotalError = 3.83361
TotalError = 5.39911
TotalError = 3.82708
TotalError = 5.35457
TotalError = 6.03947
TotalError = 4.32628
TotalError = 3.81855
TotalError = 4.17906
TotalError = 4.39849
TotalError = 3.81855
TotalError = 3.81202
TotalError = 4.68441
TotalError = 3.81855
TotalError = 4.21676
TotalError = 5.75737
TotalError = 4.33602
TotalError = 3.82402
TotalError = 4.18879
TotalError = 4.44345
TotalError = 3.82003
TotalError = 3.82402
TotalError = 4.45177
TotalError = 3.82402
TotalError = 4.21149
TotalError = 5.74581
TotalError = 4.55734
TotalError = 3.83647
TotalError = 4.61406
TotalError = 4.40061
TotalError = 3.83248
TotalError = 4.39737
TotalError = 4.6248
TotalError = 3.83647
TotalError = 4.29288
TotalError = 5.75033
TotalError = 3.07311
TotalError = 2.88814
TotalError = 2.88814
TotalError = 3.23164
TotalError = 2.8827
TotalError = 2.88814
TotalError = 4.13863
TotalError = 2.88193
TotalError = 3.91741
TotalError = 5.75737
TotalError = 3.21312
TotalError = 2.88814
TotalError = 3.06788
TotalError = 3.66644
TotalError = 2.88193
TotalError = 2.88814
TotalError = 3.68644
TotalError = 2.88814
TotalError = 3.49692
TotalError = 5.75737
TotalError = 4.34021
TotalError = 3.87595
TotalError = 4.24134
TotalError = 4.73793
TotalError = 3.87595
TotalError = 3.86806
TotalError = 4.35646
TotalError = 3.87595
TotalError = 4.45942
TotalError = 5.75737
TotalError = 4.94389
TotalError = 3.85474
TotalError = 4.6029
TotalError = 4.60797
TotalError = 3.88894
TotalError = 3.84685
TotalError = 4.59641
TotalError = 3.85474
TotalError = 4.2855
TotalError = 5.75737
TotalError = 4.96606
TotalError = 3.89094
TotalError = 4.7976
TotalError = 4.82838
TotalError = 4.44544
TotalError = 3.89158
TotalError = 4.56689
TotalError = 3.89094
TotalError = 4.36842
TotalError = 5.74734
TotalError = 5.06745
TotalError = 3.93182
TotalError = 4.76985
TotalError = 4.8214
TotalError = 4.39101
TotalError = 3.93182
TotalError = 4.35867
TotalError = 3.93182
TotalError = 4.47863
TotalError = 5.75033
TotalError = 4.3738
TotalError = 3.95003
TotalError = 4.3738
TotalError = 4.6257
TotalError = 4.04935
TotalError = 3.90849
TotalError = 4.9381
TotalError = 3.95003
TotalError = 5.10858
TotalError = 6.74911
TotalError = 4.5654
TotalError = 4.20685
